Date,SMA50,SMA200,RSI,MACD,MACD_signal,MACD_histogram,Bollinger_hband,Bollinger_lband
2024-11-15,,,,,,,,
2024-11-18,,,,,,,,
2024-11-19,,,,,,,,
2024-11-20,,,,,,,,
2024-11-21,,,,,,,,
2024-11-22,,,,,,,,
2024-11-25,,,,,,,,
2024-11-26,,,,,,,,
2024-11-27,,,,,,,,
2024-11-29,,,,,,,,
2024-12-02,,,,,,,,
2024-12-03,,,,,,,,
2024-12-04,,,,,,,,
2024-12-05,,,72.75051322291758,,,,,
2024-12-06,,,78.81149813950364,,,,,
2024-12-09,,,78.9571204234809,,,,,
2024-12-10,,,81.62881236371511,,,,,
2024-12-11,,,85.76217906048792,,,,,
2024-12-12,,,80.30454508342041,,,,,
2024-12-13,,,83.39729817833063,,,,429.9768707704841,298.98213191506284
